disease,law_grade,stat_code,stat_grade,surveillance,matched
에볼라바이러스병,1,NA0001,1,전수감시,Y
마버그열,1,NA0002,1,전수감시,Y
라싸열,1,NA0003,1,전수감시,Y
크리미안콩고출혈열,1,NA0004,1,전수감시,Y
남아메리카출혈열,1,NA0005,1,전수감시,Y
리프트밸리열,1,NA0006,1,전수감시,Y
두창,1,NA0007,1,전수감시,Y
페스트,1,NA0008,1,전수감시,Y
탄저,1,NA0009,1,전수감시,Y
보툴리눔독소증,1,NA0010,1,전수감시,Y
야토병,1,NA0011,1,전수감시,Y
중증급성호흡기증후군(SARS),1,NA0013,1,전수감시,Y
중동호흡기증후군(MERS),1,NA0014,1,전수감시,Y
동물인플루엔자 인체감염증,1,NA0015,1,전수감시,Y
신종인플루엔자,1,NA0016,1,전수감시,Y
디프테리아,1,NA0017,1,전수감시,Y
수두,2,NB0002,2,전수감시,Y
홍역,2,NB0003,2,전수감시,Y
콜레라,2,NB0004,2,전수감시,Y
장티푸스,2,NB0005,2,전수감시,Y
파라티푸스,2,NB0006,2,전수감시,Y
세균성이질,2,NB0007,2,전수감시,Y
장출혈성대장균감염증,2,NB0008,2,전수감시,Y
A형간염,2,NB0009,2,전수감시,Y
백일해,2,NB0010,2,전수감시,Y
유행성이하선염,2,NB0011,2,전수감시,Y
폴리오,2,NB0013,2,전수감시,Y
수막구균 감염증,2,NB0014,2,전수감시,Y
b형헤모필루스인플루엔자,2,NB0015,2,전수감시,Y
폐렴구균 감염증,2,NB0016,2,전수감시,Y
한센병,2,NB0017,2,전수감시,Y
성홍열,2,NB0018,2,전수감시,Y
반코마이신내성황색포도알균(VRSA) 감염증,2,NB0019,2,전수감시,Y
카바페넴내성장내세균목(CRE) 감염증,2,NB0020,2,전수감시,Y
E형간염,2,NB0021,2,전수감시,Y
풍진(선천성),2,NB1201,2,전수감시,Y
풍진(후천성),2,NB1202,2,전수감시,Y
파상풍,3,NC0001,3,전수감시,Y
일본뇌염,3,NC0003,3,전수감시,Y
C형간염,3,NC0004,3,전수감시,Y
말라리아,3,NC0005,3,전수감시,Y
레지오넬라증,3,NC0006,3,전수감시,Y
비브리오패혈증,3,NC0007,3,전수감시,Y
발진티푸스,3,NC0008,3,전수감시,Y
발진열,3,NC0009,3,전수감시,Y
쯔쯔가무시증,3,NC0010,3,전수감시,Y
렙토스피라증,3,NC0011,3,전수감시,Y
브루셀라증,3,NC0012,3,전수감시,Y
공수병,3,NC0013,3,전수감시,Y
신증후군출혈열,3,NC0014,3,전수감시,Y
크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),3,NC0016,3,전수감시,Y
황열,3,NC0017,3,전수감시,Y
뎅기열,3,NC0018,3,전수감시,Y
큐열,3,NC0019,3,전수감시,Y
웨스트나일열,3,NC0020,3,전수감시,Y
라임병,3,NC0021,3,전수감시,Y
진드기매개뇌염,3,NC0022,3,전수감시,Y
유비저,3,NC0023,3,전수감시,Y
치쿤구니야열,3,NC0024,3,전수감시,Y
중증열성혈소판감소증후군(SFTS),3,NC0025,3,전수감시,Y
지카바이러스감염증,3,NC0026,3,전수감시,Y
@엠폭스,,NC0028,3,전수감시,N
B형간염,3,NC0201,3,전수감시,Y
매독(1기),3,NC2701,3,전수감시,Y
매독(2기),3,NC2702,3,전수감시,Y
매독(3기),3,NC2703,3,전수감시,Y
매독(선천성),3,NC2704,3,전수감시,Y
매독(잠복),3,NC2705,3,전수감시,Y
